ITEM	DYN_ATTR_DESC
2530616	Vintage Holiday
2530616	Elegant Gems
2532713	Elegant Gems
2532800	Winter Shimmer
2532800	Elegant Gems
3640446	Sleek & Urban
3640447	Sleek & Urban
3640449	Patio Oasis
3640450	Summer Solitude
3640739	Vintage Holiday
3640744	Shabby Elegance
3640771	Shabby Elegance
3640776	Tried & True
3640784	Shabby Elegance
3640786	Shabby Elegance
3640788	Shabby Elegance
3640815	Patio Oasis
3640816	Tried & True
3640822	Shabby Elegance
3640825	Patio Oasis
3640826	Patio Oasis
3820105	Winter Shimmer
3820197	Winter Shimmer
4219012	Elegant Gems
4219013	Vintage Holiday
4219257	Shabby Elegance
4310849	Vintage Holiday
4330412	Elegant Gems
4330781	Summer Solitude
4330782	Shabby Elegance
4818035	Winter Shimmer
4836394	Winter Shimmer
4836395	Winter Shimmer
4838952	Elegant Gems
4845063	Vintage Holiday
4846454	Winter Shimmer
4860240	Winter Shimmer
4860445	Vintage Holiday
5052213	Summer Solitude
5052224	Patio Oasis
5052282	Summer Solitude
5417000	Winter Shimmer
5516010	Elegant Gems
5610043	Vintage Holiday
5610066	Vintage Holiday
5610081	Vintage Holiday
5610108	Vintage Holiday
5610111	Vintage Holiday
5610113	Vintage Holiday
5610115	Vintage Holiday
5610130	Vintage Holiday
5610131	Winter Shimmer
5610140	Winter Shimmer
5610146	Elegant Gems
5610161	Vintage Holiday
5610162	Winter Shimmer
5610175	Vintage Holiday
5610176	Vintage Holiday
5610180	Winter Shimmer
5610183	Vintage Holiday
5610184	Winter Shimmer
5610185	Winter Shimmer
5610186	Winter Shimmer
5610187	Elegant Gems
5610188	Winter Shimmer
5610189	Winter Shimmer
5610751	Vintage Holiday
5611040	Elegant Gems
5611041	Vintage Holiday
5611537	Elegant Gems
5615058	Winter Shimmer
5615058	Vintage Holiday
5615329	Elegant Gems
5615343	Vintage Holiday
5615350	Winter Shimmer
5615352	Winter Shimmer
5615353	Vintage Holiday
5615354	Vintage Holiday
5615419	Vintage Holiday
5615468	Elegant Gems
5615469	Vintage Holiday
5615490	Elegant Gems
5615498	Vintage Holiday
5615500	Vintage Holiday
5615502	Winter Shimmer
5615503	Winter Shimmer
5615525	Winter Shimmer
5615527	Vintage Holiday
5615535	Elegant Gems
5615538	Vintage Holiday
5615539	Winter Shimmer
5615540	Winter Shimmer
5615542	Vintage Holiday
5615547	Winter Shimmer
5615556	Winter Shimmer
5615557	Winter Shimmer
5615567	Vintage Holiday
5615575	Vintage Holiday
5615582	Winter Shimmer
5615583	Winter Shimmer
5615584	Elegant Gems
5615585	Elegant Gems
5615586	Elegant Gems
5615588	Elegant Gems
5615589	Elegant Gems
5615593	Vintage Holiday
5615594	Vintage Holiday
5615595	Vintage Holiday
5615608	Winter Shimmer
5615616	Elegant Gems
5615618	Elegant Gems
5615623	Winter Shimmer
5615624	Winter Shimmer
5615626	Elegant Gems
5615628	Elegant Gems
5615631	Elegant Gems
5615640	Vintage Holiday
5615644	Elegant Gems
5615646	Winter Shimmer
5615648	Elegant Gems
5615657	Elegant Gems
5615669	Elegant Gems
5615677	Winter Shimmer
5615684	Winter Shimmer
5615687	Elegant Gems
5615689	Elegant Gems
5615690	Elegant Gems
5615691	Elegant Gems
5615692	Elegant Gems
5615693	Elegant Gems
5615695	Elegant Gems
5615696	Elegant Gems
5615697	Elegant Gems
5615699	Winter Shimmer
5615700	Winter Shimmer
5615702	Vintage Holiday
5615704	Vintage Holiday
5615705	Winter Shimmer
5615714	Winter Shimmer
5615715	Winter Shimmer
5615716	Winter Shimmer
5615717	Winter Shimmer
5615718	Winter Shimmer
5615721	Vintage Holiday
5615723	Winter Shimmer
5615734	Elegant Gems
5615735	Winter Shimmer
5615736	Winter Shimmer
5615737	Elegant Gems
5615738	Winter Shimmer
5615739	Winter Shimmer
5615742	Winter Shimmer
5615746	Elegant Gems
5615748	Vintage Holiday
5615749	Winter Shimmer
5615750	Winter Shimmer
5615753	Winter Shimmer
5615754	Vintage Holiday
5615755	Elegant Gems
5615758	Winter Shimmer
5615759	Winter Shimmer
5615769	Vintage Holiday
5615771	Vintage Holiday
5615776	Vintage Holiday
5615785	Winter Shimmer
5615786	Winter Shimmer
5615788	Winter Shimmer
5615789	Elegant Gems
5615791	Winter Shimmer
